AÑO_ACTIVO;CODIGO_BUQUE;CODIGO_UE;CODIGO_CFR;NOMBRE_BUQUE;MATRICULA;FOLIO;DISTINTIVO;LISTA;CENSOPORMODALIDAD;CALADERO;MODALIDAD;LABORATORIO_PTOBASE;CODIGO_PUERTO_BASE;PUERTO_BASE;VERNACULO;PROVINCIA;AUTONOMIA_PUERTO_BASE;ESTADO;PAIS_EXPORTACION;FECHA_ALTA_CENSO;FECHA_SITUACION;FECHA_ENTRADA_SERVICIO;IRREGULAR;ESLORA_TOTAL;ESLORA_PP;LOA;ARQUEO_TRB;ARQUEO_GT;SITUACION_GT;POTENCIA_CV;POTENCIA_KW;TIPO_CASCO;AÑO_CONST
2018;51991;ESP000051991;ESP000051991;MARI FE;VI-3;1938   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;24300;BUEU;BUEU;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;15/2/2002 0:00:00;21/1/1987 0:00:00;NO;4,92;;VL0010;1,04;0,79;DEFINITIVO;25,00;18,39;POLIESTER;1986
2018;52012;ESP000052012;ESP000052012;EBENECER;VI-2;2346   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;24200;MARIN;MARIN;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;22/4/1987 0:00:00;NO;4,70;;VL0010;1,58;0,69;DEFINITIVO;15,00;11,03;POLIESTER;1987
2018;52039;ESP000052039;ESP000052039;VEN E MIRA;VI-3;1942   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;24300;BUEU;BUEU;PONTEVEDRA;GALICIA;H - A.P. POR REACTIVACION;;10/5/1989 0:00:00;13/10/2016 0:00:00;1/1/1945 0:00:00;NO;8,00;;VL0010;6,00;3,98;DEFINITIVO;37,00;27,22;MADERA;1945
2018;52041;ESP000052041;ESP000052041;CHATA;VI-2;1876   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;24800;REDONDELA                     ;REDONDELA;PONTEVEDRA;GALICIA;H - A.P. POR REACTIVACION;;10/5/1989 0:00:00;30/9/2017 0:00:00;10/11/1966 0:00:00;NO;5,27;;VL0010;0,79;0,98;DEFINITIVO;15,00;11,03;POLIESTER;1966
2018;52053;ESP000052053;ESP000052053;MARI;CO-2;3347   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;22700;NOYA                          ;NOIA;A CORUÑA;GALICIA;H - A.P. POR REACTIVACION;;10/5/1989 0:00:00;17/3/2014 0:00:00;8/7/1972 0:00:00;NO;7,80;;VL0010;0,78;3,60;DEFINITIVO;36,00;26,49;POLIESTER;1972
2018;52054;ESP000052054;ESP000052054;CRUZ DEL SUR;CO-2;3841   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;22420;MUGIA;MUXIA;A CORUÑA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;1/1/1986 0:00:00;NO;5,00;;VL0010;1,71;0,92;DEFINITIVO;25,00;18,39;POLIESTER;1986
2018;52055;ESP000052055;ESP000052055;CORNETA;CO-2;3775   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;21400;EL FERROL                     ;FERROL;A CORUÑA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;17/4/1985 0:00:00;NO;5,40;;VL0010;0,84;1,15;DEFINITIVO;25,00;18,39;POLIESTER;1985
2018;52059;ESP000052059;ESP000052059;MARIA;CO-2;3763   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;22200;A CORUÑA;A CORUÑA;A CORUÑA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;20/2/1984 0:00:00;NO;4,70;3,80;VL0010;0,82;0,71;DEFINITIVO;25,00;18,39;POLIESTER;1984
2018;52060;ESP000052060;ESP000052060;AURORA;CO-2;2618   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;22200;A CORUÑA;A CORUÑA;A CORUÑA;GALICIA;H - A.P. POR REACTIVACION;;10/5/1989 0:00:00;25/2/2018 0:00:00;23/1/1960 0:00:00;NO;4,64;;VL0010;0,73;0,67;DEFINITIVO;25,00;18,39;POLIESTER;1959
2018;52061;ESP000052061;ESP000052061;NURIA;CO-2;3561   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;21400;EL FERROL                     ;FERROL;A CORUÑA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;4/10/1974 0:00:00;NO;5,35;;VL0010;0,65;1,06;DEFINITIVO;25,00;18,39;POLIESTER;1974
