METIER_DCF;CALADERO_DCF;ESTRATO_RIM;COD_ORIGEN;ORIGEN;COD_ARTE;ARTE
LLS_DEF_0_0_0;Iberian (VIIIc-IX);PALANGRE_CN;008;Subdivisión 8c-Este;302;PALANGRE DE FONDO
LLS_DEF_0_0_0;Iberian (VIIIc-IX);PALANGRE_CN;008;Subdivisión 8c-Este;333;LINEA / CORDEL
LLS_DEF_0_0_0;Iberian (VIIIc-IX);PALANGRE_CN;009;Subdivisión 8c-Oeste;302;PALANGRE DE FONDO
LLS_DEF_0_0_0;Iberian (VIIIc-IX);PALANGRE_CN;009;Subdivisión 8c-Oeste;333;LINEA / CORDEL
LLS_DEF_0_0_0;Iberian (VIIIc-IX);PALANGRE_CN;010;Subdivisión IXa-Norte;302;PALANGRE DE FONDO
LLS_DEF_0_0_0;Iberian (VIIIc-IX);PALANGRE_CN;010;Subdivisión IXa-Norte;333;LINEA / CORDEL
LLS_DEF_0_0_0;Iberian (VIIIc-IX);PALANGRE_GC;011;Subdivisión IXa-Sur;302;PALANGRE DE FONDO
LLS_DWS_0_0_0;Iberian (VIIIc-IX);SABLE_GC;011;Subdivisión IXa-Sur;302;PALANGRE DE FONDO
OTB_DEF_100-119_0_0;Western Scotland (VI);MERLUCER_AC;001;Subárea VI (ICES);102;BACA
OTB_DEF_100-119_0_0;Western Ireland (VIIbcjk);MERLUCER_AC;002;Subárea VII (ICES);102;BACA
OTB_DEF_100-119_0_0;Western Ireland (VIIbcjk);MERLUCER_AC;030;División VIIb;102;BACA
OTB_DEF_100-119_0_0;Western Ireland (VIIbcjk);MERLUCER_AC;031;División VIIc;102;BACA
OTB_DEF_100-119_0_0;Western Ireland (VIIbcjk);MERLUCER_AC;033;División VIIg;102;BACA
OTB_DEF_100-119_0_0;Western Ireland (VIIbcjk);MERLUCER_AC;034;División VIIh;102;BACA
OTB_DEF_100-119_0_0;Western Ireland (VIIbcjk);MERLUCER_AC;035;División VIIk;102;BACA
OTB_DEF_100-119_0_0;Western Ireland (VIIbcjk);MERLUCER_AC;036;División VIIj;102;BACA
OTB_DEF_70-99_0_0;Bay of Biscay (VIIIabde);BACA_AC;038;Divisiones 8abde;102;BACA
OTB_DEF_70-99_0_0;Iberian (VIIIc-IX);BACA_APN;012;Subdivisión IXa-Centro;102;BACA
OTB_DEF_70-99_0_0;Iberian (VIIIc-IX);BACA_APN;058;Subdivisión IXa-Centro Norte;102;BACA
OTB_DEF_70-99_0_0;Iberian (VIIIc-IX);BACA_CN;008;Subdivisión 8c-Este;102;BACA
OTB_DEF_70-99_0_0;Iberian (VIIIc-IX);BACA_CN;009;Subdivisión 8c-Oeste;102;BACA
OTB_DEF_70-99_0_0;Iberian (VIIIc-IX);BACA_CN;010;Subdivisión IXa-Norte;102;BACA
