Id;CODIGO_BUQUE;CODIGO_UE;NOMBRE_BUQUE;MATRICULA;FOLIO;DISTINTIVO;LISTA;CENSOPORMODALIDAD;CALADERO;MODALIDAD;LABORATORIO_PTOBASE;CODIGO_PUERTO_BASE;PUERTO_BASE;VERNACULO;PROVINCIA;AUTONOMIA_PUERTO_BASE;ESTADO;PAIS_EXPORTACION;FECHA_ALTA_CENSO;FECHA_SITUACION;FECHA_ENTRADA_SERVICIO;IRREGULAR;ESLORA_TOTAL;ESLORA_PP;LOA;ARQUEO_TRB;ARQUEO_GT;SITUACION_GT;POTENCIA_CV;POTENCIA_KW;TIPO_CASCO;AÑO_CONST;Observ
1;265;ESP000000265;SIEMPRE FORTUNA;FE-1;1837;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;21220;BURELA;BURELA;LUGO;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;17/02/1977;NO;9,760000229;;VL0010;5,5;3,440000057;DEFINITIVO;60;44,15011215;MADERA;1977;
2;279;ESP000000279;NUEVO EBENEZER;GI-4;1838;EFKE;3;ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.;5;FIJAS;IEO;21220;BURELA;BURELA;LUGO;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;17/10/1970;NO;28,14999962;26,01000023;VL2440;186,6999969;238;DEFINITIVO;660;485,6512146;ACERO;1970;
3;334;ESP000000334;GONRUBEN;FE-2;2910;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;21220;BURELA;BURELA;LUGO;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;10/05/1960;NO;8,550000191;;VL0010;4,820000172;3,049999952;DEFINITIVO;24;17,66004372;MADERA;1960;
4;549;ESP000000549;ANGELITO;CO-6;2025;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;22600;MUROS;MUROS;A CORUÑA;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;07/08/1958;NO;5,539999962;;VL0010;0,400000006;0,889999986;DEFINITIVO;22;16,18837357;MADERA;1958;
5;561;ESP000000561;LAVANDEIRA;CO-6;2126;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;22700;NOYA;NOIA;A CORUÑA;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;26/09/1970;NO;4,900000095;;VL0010;1,179999948;0,629999995;DEFINITIVO;6;4,415010929;MADERA;1970;
6;570;ESP000000570;MARCELO;CO-6;2181;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;22700;NOYA;NOIA;A CORUÑA;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;08/07/1980;NO;5,53000021;;VL0010;1,379999995;0,99000001;DEFINITIVO;30;22,07505608;POLIESTER;1980;
7;582;ESP000000582;PESCADOR SEGUNDO;CO-5;1801;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;22600;MUROS;MUROS;A CORUÑA;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;16/11/1973;NO;6;;VL0010;2,25;1,25;DEFINITIVO;7;5,150846004;MADERA;1973;
8;590;ESP000000590;SOTIÑO;CO-6;2188;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;22600;MUROS;MUROS;A CORUÑA;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;13/08/1981;NO;5,300000191;;VL0010;1,470000029;0,800000012;DEFINITIVO;9;6,622516632;MADERA;1981;
9;631;ESP000000631;MIÑO;VI-1;1870;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;24100;PORTONOVO;PORTONOVO;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;21/04/1981;NO;10,89999962;;VL1012;8,75;6,489999771;DEFINITIVO;75;55,18763733;MADERA;1979;
10;634;ESP000000634;PLAYA DE SABON;VI-7;3521;EA4853;3;ARTES MENORES  EN EL GOLFO DE CADIZ;2;MENORES;IEO;31100;AYAMONTE;AYAMONTE;HUELVA;ANDALUCIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;20/06/1973;NO;18,39999962;14,85000038;VL1824;27,63999939;30,65999985;DEFINITIVO;200;147,167038;MADERA;1972;
11;911;ESP000000911;TOMASIN;HU-3;1333;;3;CERCO EN EL GOLFO DE CADIZ;2;CERCO;IEO;32100;SANLUCAR DE BARRAMEDA;SANLUCAR DE BARRAMEDA;CADIZ;ANDALUCIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;26/09/1975;NO;10,80000019;9;VL1012;11,47999954;10,56999969;DEFINITIVO;118;86,82855225;MADERA;1974;
12;1087;ESP000001087;BALSA;FE-1;1880;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;21100;RIBADEO;RIBADEO;LUGO;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;10/08/1967;NO;5,400000095;;VL0010;1,929999948;0,970000029;DEFINITIVO;9;6,622516632;MADERA;1967;
13;1503;ESP000001503;SAN ANTONIO;CA-4;512;;3;CERCO EN EL GOLFO DE CADIZ;2;CERCO;IEO;33500;BARBATE;BARBATE;CADIZ;ANDALUCIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;06/02/1961;NO;13,69999981;12,60000038;VL1218;18,40999985;21,90999985;DEFINITIVO;66;48,5651207;MADERA;1960;
14;1513;ESP000001513;JUAN MANUEL;CU-1;1696;EB5702;3;ARTES MENORES EN EL MEDITERRANEO;NO_ICES;NO_ICES;IEO;34200;ALGECIRAS;ALGECIRAS;CADIZ;ANDALUCIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;07/11/1983;SI;10,28999996;;VL1012;8,859999657;8,640000343;DEFINITIVO;92;67,69683838;MADERA;1983;
15;1522;ESP000001522;EL MELENA;CU-1;1525;;3;ARTES MENORES EN EL MEDITERRANEO;NO_ICES;NO_ICES;IEO;34100;TARIFA;TARIFA;CADIZ;ANDALUCIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;25/11/1961;NO;7,199999809;;VL0010;6,829999924;3,5;DEFINITIVO;38;27,96173668;MADERA;1961;
16;1780;ESP000001780;VENTOLERA;VILL-3;8632;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23310;CARRIL;CARRIL;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/05/1989;14/04/2000;19/06/1972;NO;4,71999979;;VL0010;0,959999979;0,74000001;DEFINITIVO;15;11,03752804;POLIESTER;1972;
17;1790;ESP000001790;GOLFA;VILL-3;7096;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23310;CARRIL;CARRIL;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;25/01/1957;NO;4,679999828;;VL0010;0,819999993;0,74000001;DEFINITIVO;20;14,71670341;POLIESTER;1956;
18;1801;ESP000001801;CARMELO;VILL-3;5451;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;24810;ARCADE;ARCADE;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;23/07/1945;NO;5,349999905;;VL0010;2;0,540000021;DEFINITIVO;25;18,39587975;MADERA;1945;
19;1989;ESP000001989;GOMEZ RIERA;HU-2;1642;;3;PALANGRE DE FONDO EN EL MEDITERRANEO;NO_ICES;NO_ICES;IEO;34100;TARIFA;TARIFA;CADIZ;ANDALUCIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;28/06/1963;NO;9,5;;VL0010;10,05000019;9,609999657;DEFINITIVO;60;44,15011215;MADERA;1963;
20;2176;ESP000002176;ENVIDIOSA;VILL-3;9418;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23400;EL GROVE;O GROVE;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;11/04/1994;11/04/1994;01/01/1949;NO;6,5;;VL0010;1,299999952;1,679999948;DEFINITIVO;25;18,39587975;POLIESTER;1949;
21;2215;ESP000002215;FINA;VI-5;9396;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;24420;MOAÑA;MOAÑA;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;12/02/1974;NO;5,71999979;;VL0010;1,230000019;1,120000005;DEFINITIVO;25;18,39587975;POLIESTER;1974;
22;2237;ESP000002237;ARAU;VI-7;3468;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;24400;CANGAS;CANGAS;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;19/05/1983;NO;4,949999809;;VL0010;1,799999952;0,980000019;DEFINITIVO;24;17,66004372;MADERA;1983;
23;2277;ESP000002277;ME VOY;CO-2;2455;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23510;ISLA DE AROSA;A ILLA DE AROUSA;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;02/06/1957;NO;8,170000076;6,550000191;VL0010;2,450000048;1,700000048;DEFINITIVO;9;6,622516632;MADERA;1957;
24;2288;ESP000002288;SAN PEDRITO;FE-4;3033;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;21400;EL FERROL;FERROL;A CORUÑA;GALICIA;ALTA DEFINITIVA;;10/05/1989;23/02/2011;17/09/1982;NO;8,399999619;;VL0010;4,53000021;3;DEFINITIVO;37;27,22590065;MADERA;1982;
25;2298;ESP000002298;FLOR DEL MAR;FE-4;3006;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;22100;SADA;SADA;A CORUÑA;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;13/09/1979;NO;7,300000191;6;VL0010;1,5;1,669999957;DEFINITIVO;38;27,96173668;MADERA;1978;
26;2311;ESP000002311;VINO DEL MAR;VILL-3;8243;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23320;RIANJO;RIANXO;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;17/07/1967;NO;8,25;;VL0010;4,400000095;2,660000086;DEFINITIVO;24;17,66004372;MADERA;1966;
27;2316;ESP000002316;MARBA;VILL-3;8346;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23320;RIANJO;RIANXO;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;24/09/1968;NO;5,849999905;;VL0010;1,580000043;1,549999952;DEFINITIVO;30;22,07505608;POLIESTER;1968;
28;2324;ESP000002324;COLON;VILL-3;4513;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23320;RIANJO;RIANXO;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;06/08/1941;NO;7,099999905;;VL0010;1;1,470000029;DEFINITIVO;16;11,77336311;MADERA;1941;
29;2326;ESP000002326;A RIANXEIRA;VILL-3;9344;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23320;RIANJO;RIANXO;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;09/05/1981;NO;5,059999943;;VL0010;1,419999957;1,00999999;DEFINITIVO;15;11,03752804;POLIESTER;1980;
30;2342;ESP000002342;ELVI EXPRES;VILL-3;9165;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;24130;COMBARRO;COMBARRO;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;29/01/1979;NO;8,100000381;;VL0010;3,599999905;2,519999981;DEFINITIVO;23;16,92420959;MADERA;1978;
31;2352;ESP000002352;LOS BRAVOS;VILL-3;8597;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23310;CARRIL;CARRIL;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;20/01/1972;NO;8;;VL0010;5,460000038;3,529999971;DEFINITIVO;32;23,54672623;MADERA;1971;
32;2364;ESP000002364;PABLO;VILL-3;9429;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23320;RIANJO;RIANXO;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;09/06/1981;NO;5,699999809;;VL0010;1,200000048;1,289999962;DEFINITIVO;25;18,39587975;POLIESTER;1981;
33;2390;ESP000002390;MONCHITO;VILL-3;7132;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23320;RIANJO;RIANXO;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;03/05/1957;NO;6,199999809;;VL0010;1,480000019;1,080000043;DEFINITIVO;12;8,830021858;MADERA;1957;
34;2391;ESP000002391;FLOR DO PORTO;4VILL2;27-91;;4;SIN CENSO ABIERTO;1;MENORES;IEO;23400;EL GROVE;O GROVE;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;03/06/1982;NO;14,40999985;14,39999962;VL1218;15,36999989;14,14000034;DEFINITIVO;128;94,18690491;MADERA;;
35;2399;ESP000002399;CUQUIÑA;4VILL3;5-04;;4;SIN CENSO ABIERTO;1;MENORES;IEO;23500;CAMBADOS;CAMBADOS;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;26/03/1981;NO;14,75;;VL1218;15,27000046;15,94999981;DEFINITIVO;128;94,18690491;MADERA;;
36;2418;ESP000002418;HERMANOS VARELA;VILL-3;9084;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23320;RIANJO;RIANXO;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;03/07/1976;NO;5,550000191;;VL0010;1,200000048;1,320000052;DEFINITIVO;20;14,71670341;POLIESTER;1976;
37;2435;ESP000002435;NUEVO PACO;VI-8;648;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23320;RIANJO;RIANXO;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;06/06/1970;NO;10,69999981;;VL1012;4,889999866;6,739999771;DEFINITIVO;37,40000153;27,52023697;MADERA;1970;
38;2437;ESP000002437;SEGUNDA SILVIA;VILL-3;9108;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23320;RIANJO;RIANXO;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;11/12/1940;NO;6,5;;VL0010;1,470000029;1,230000019;DEFINITIVO;9;6,622516632;MADERA;1940;
39;2443;ESP000002443;CRIOLLO SEGUNDO;VILL-3;9229;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23320;RIANJO;RIANXO;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;05/10/1979;NO;8,899999619;;VL0010;4,760000229;2,829999924;DEFINITIVO;24;17,66004372;MADERA;1979;
40;13533;ESP000013533;BUSCO LA RIA;VILL-2;4448;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23200;CARAMIÑAL;POBRA DO CARAMIÑAL;A CORUÑA;GALICIA;BAJA POR NUEVA CONSTRUCCION;;10/05/1989;24/11/2016;11/02/1976;NO;6,800000191;;VL0010;1,980000019;1,789999962;DEFINITIVO;17;12,50919819;MADERA;1958;
41;13707;ESP000013707;OSCAR;VI-4;5546;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;24400;CANGAS;CANGAS;PONTEVEDRA;GALICIA;H - A.P. POR REACTIVACION;;10/05/1989;12/11/2014;05/03/1984;NO;6,380000114;;VL0010;2,130000114;1,570000052;DEFINITIVO;25;18,39587975;POLIESTER;1983;
42;14628;ESP000014628;MAREA NUMERO DOS;VILL-4;1895;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23400;EL GROVE;O GROVE;PONTEVEDRA;GALICIA;RETIRADA DE LA ACTIVIDAD PESQUERA;;10/05/1989;04/10/2016;13/11/1985;NO;5,699999809;;VL0010;1,75;1,320000052;DEFINITIVO;9;6,622516632;MADERA;1985;
43;15661;ESP000015661;MAR BELLA;GI-8;1326;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;14840;TAPIA DE CASARIEGO;TAPIA DE CASARIEGO;ASTURIAS;PRINCIPADO DE ASTURIAS;H - A.P. POR REACTIVACION;;31/12/1987;08/09/2015;07/03/1989;NO;6,309999943;;VL0010;1,639999986;1,169999957;DEFINITIVO;12;8,830021858;MADERA;1987;
44;20946;ESP000020946;VERONICA;SE-1;589;;3;ARTES MENORES  EN EL GOLFO DE CADIZ;2;MENORES;IEO;32100;SANLUCAR DE BARRAMEDA;SANLUCAR DE BARRAMEDA;CADIZ;ANDALUCIA;RETIRADA DE LA ACTIVIDAD PESQUERA;;30/06/1989;06/10/2016;21/03/1967;NO;13,42000008;8,600000381;VL1218;7,550000191;13,46000004;DEFINITIVO;68;50,03679276;MADERA;1967;
45;22644;ESP000022644;MARBELLA;VI-5;7882;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;24600;BAYONA;BAIONA;PONTEVEDRA;GALICIA;RETIRADA DE LA ACTIVIDAD PESQUERA;;01/10/1993;04/10/2016;20/05/1959;NO;7,300000191;;VL0010;3,329999924;1,669999957;DEFINITIVO;23;16,92420959;MADERA;1959;
46;25195;ESP000025195;NUEVO CIONIN;ST-4;6-01;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;13400;SANTANDER;SANTANDER;CANTABRIA;CANTABRIA;RETIRADA DE LA ACTIVIDAD PESQUERA;;22/03/2002;04/10/2016;11/02/2002;NO;7,199999809;6;VL0010;2,579999924;1,679999948;DEFINITIVO;37;27,22590065;POLIESTER;2002;
47;25704;ESP000025704;NOVO AIRIÑOS;CU-1;1-03;ECBY;3;PALANGRE DE SUPERFICIE EN PACIFICO E INDICO;NO_ICES;NO_ICES;IEO;24500;VIGO;VIGO;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;30/09/2003;26/04/2015;16/09/2003;NO;50;40;VL40XX;541,960022;852;DEFINITIVO;1468;1080,206055;ACERO;2003;
48;26540;ESP000026540;PATXIKO;BI-3;3-05;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;AZTI;12360;ARMINTZA;ARMINTZA;VIZCAYA;PAIS VASCO;RETIRADA DE LA ACTIVIDAD PESQUERA;;16/01/2006;27/09/2016;13/12/2005;NO;6,400000095;;VL0010;2,00999999;0,920000017;DEFINITIVO;20;14,71670341;POLIESTER;2005;
49;26586;ESP000026586;HURACAN UNO;VI-2;7-04;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;24130;COMBARRO;COMBARRO;PONTEVEDRA;GALICIA;H - A.P. POR REACTIVACION;;28/02/2006;10/01/2013;30/01/2006;NO;7,46999979;6,099999905;VL0010;3,099999905;1,99000001;DEFINITIVO;34;25,01839638;POLIESTER;2005;
50;26746;ESP000026746;ACECHADOR PRIMERO;VILL-1;20-05;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23100;STA. EUGENIA RIVEIRA;RIBEIRA;A CORUÑA;GALICIA;H - A.P. POR REACTIVACION;;17/08/2006;09/09/2015;31/05/2006;NO;7,269999981;6,199999809;VL0010;3,829999924;2,50999999;DEFINITIVO;21;15,45253849;POLIESTER;2005;
51;27250;ESP000027250;NUEVO AAIUN;TE-2;1-06;EB5620;3;CERCO EN EL GOLFO DE CADIZ;2;CERCO;IEO;81280;TAZACORTE;TAZACORTE;SANTA CRUZ DE TENERIFE;CANARIAS;ALTA DEFINITIVA;;26/01/2009;23/03/2009;11/11/2008;NO;15,93999958;;VL1218;14,97999954;16,10000038;DEFINITIVO;160;117,7336273;POLIESTER;2006;
52;27744;ESP000027744;O TITAN;CO-7;1-16;;3;CERCO EN CANTABRICO NW;1;CERCO;IEO;22710;PORTOSIN;PORTOSIN;A CORUÑA;GALICIA;G - A.P. POR NUEVA CONSTRUCCION;;22/07/2016;22/07/2016;05/07/2016;NO;23;19,39999962;VL1824;75,20999908;78;DEFINITIVO;430;316,4091187;POLIESTER;2016;
53;27746;ESP000027746;CADU;CO-7;3-15;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;22700;NOYA;NOIA;A CORUÑA;GALICIA;G - A.P. POR NUEVA CONSTRUCCION;;01/09/2016;01/09/2016;26/07/2016;NO;7,449999809;5,960000038;VL0010;2,440000057;1,960000038;DEFINITIVO;20;14,71670341;POLIESTER;2015;
54;27748;ESP000027748;ROJUMAR;VILL-5;1-16;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23500;CAMBADOS;CAMBADOS;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;06/10/2016;25/11/2016;12/09/2016;NO;9,649999619;7,71999979;VL0010;5,400000095;3,440000057;DEFINITIVO;16;11,77336311;POLIESTER;2016;
55;27749;ESP000027749;COUSILLAS MEL;CO-3;1-16;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;22320;MALPICA DE BERGANTIÑOS;MALPICA;A CORUÑA;GALICIA;ALTA DEFINITIVA;;14/10/2016;24/11/2016;30/09/2016;NO;10,23999977;9,600000381;VL1012;;6,320000172;DEFINITIVO;63;46,35761642;MADERA;2016;
56;27751;ESP000027751;O ROQUE;VILL-5;2-16;;3;CERCO EN CANTABRICO NW;1;CERCO;IEO;23500;CAMBADOS;CAMBADOS;PONTEVEDRA;GALICIA;G - A.P. POR NUEVA CONSTRUCCION;;02/11/2016;02/11/2016;25/10/2016;NO;14,98999977;13,03999996;VL1218;26,27000046;24,84000015;DEFINITIVO;75;55,18763733;ACERO;2016;
57;27756;ESP000027756;BRESO UNO;VI-5;2-16;EADQ;3;ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.;5;FIJAS;IEO;21220;BURELA;BURELA;LUGO;GALICIA;ALTA DEFINITIVA;;21/11/2016;16/12/2016;18/11/2016;NO;23;19,23999977;VL1824;72,41999817;123,3000031;DEFINITIVO;355;261,2214966;ACERO;;
58;51110;ESP000051110;GABRIEL;CO-7;2505;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;22700;NOYA;NOIA;A CORUÑA;GALICIA;RETIRADA DE LA ACTIVIDAD PESQUERA;;10/05/1989;27/09/2016;03/03/1964;NO;4,800000191;4,199999809;VL0010;1;0,579999983;DEFINITIVO;7;5,150846004;MADERA;1964;
59;51239;ESP000051239;SALNES;VILL-3;7792;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23340;VILLANUEVA;VILANOVA;PONTEVEDRA;GALICIA;H - A.P. POR REACTIVACION;;10/05/1989;11/09/2015;19/04/1963;NO;5,199999809;;VL0010;0,819999993;1,100000024;DEFINITIVO;25;18,39587975;POLIESTER;1962;
60;51344;ESP000051344;CLARA;VI-2;1058;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;24200;MARIN;MARIN;PONTEVEDRA;GALICIA;RETIRADA DE LA ACTIVIDAD PESQUERA;;10/05/1989;27/09/2016;23/09/1941;NO;3,900000095;;VL0010;0,610000014;0,25999999;DEFINITIVO;10;7,358351707;MADERA;1941;
61;51801;ESP000051801;NO HAY OTRA;VILL-5;712;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23510;ISLA DE AROSA;A ILLA DE AROUSA;PONTEVEDRA;GALICIA;H - A.P. POR REACTIVACION;;10/05/1989;15/01/2013;29/01/1955;NO;4,5;4,400000095;VL0010;1;0,540000021;DEFINITIVO;7;5,150846004;MADERA;1955;
62;52134;ESP000052134;ALEJANDRO VIDAL;VILL-3;9540;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23320;RIANJO;RIANXO;PONTEVEDRA;GALICIA;BAJA POR NUEVA CONSTRUCCION;;10/05/1989;25/11/2016;25/08/1982;NO;5,650000095;;VL0010;0,670000017;0,589999974;DEFINITIVO;30;22,07505608;MADERA;1982;
63;52184;ESP000052184;MAS CALMA;VI-4;4320;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;24800;REDONDELA;REDONDELA;PONTEVEDRA;GALICIA;H - A.P. POR REACTIVACION;;10/05/1989;15/01/2013;14/09/1949;NO;6,03000021;;VL0010;1,639999986;1,620000005;DEFINITIVO;13,5;9,933774948;POLIESTER;1949;
64;52221;ESP000052221;RAMONA;VI-4;5455;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;24300;BUEU;BUEU;PONTEVEDRA;GALICIA;RETIRADA DE LA ACTIVIDAD PESQUERA;;10/05/1989;28/09/2016;28/01/1982;NO;4,400000095;;VL0010;1,24000001;0,479999989;DEFINITIVO;15;11,03752804;MADERA;1982;
65;52578;ESP000052578;JOSEFA;VI-8;978;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;24400;CANGAS;CANGAS;PONTEVEDRA;GALICIA;H - A.P. POR REACTIVACION;;10/05/1989;11/09/2015;12/02/1976;NO;5,28000021;;VL0010;1,299999952;1,00999999;DEFINITIVO;30;22,07505608;POLIESTER;1975;
66;52746;ESP000052746;CARDENAL;VI-4;4941;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;24400;CANGAS;CANGAS;PONTEVEDRA;GALICIA;CAMBIA A OTRA LISTA;;10/05/1989;20/12/2016;10/08/1968;NO;4,300000191;;VL0010;1;0,460000008;DEFINITIVO;;;MADERA;1968;
67;53468;ESP000053468;TRES HERMANOS;VI-1;1289;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;24410;ALDAN-HIO;ALDAN-HIO;PONTEVEDRA;GALICIA;RETIRADA DE LA ACTIVIDAD PESQUERA;;10/05/1989;04/10/2016;26/09/1956;NO;4,300000191;;VL0010;1,149999976;0,569999993;DEFINITIVO;;;MADERA;1956;
68;55810;ESP000055810;ARROAS;VI-5;9991;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;24420;MOAÑA;MOAÑA;PONTEVEDRA;GALICIA;RETIRADA DE LA ACTIVIDAD PESQUERA;;10/05/1989;27/09/2016;20/06/1988;NO;4,989999771;;VL0010;2,230000019;1,059999943;DEFINITIVO;30;22,07505608;POLIESTER;1988;
69;55816;ESP000055816;XA CHO DIREI;VI-5;7534;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;24420;MOAÑA;MOAÑA;PONTEVEDRA;GALICIA;RETIRADA DE LA ACTIVIDAD PESQUERA;;10/05/1989;28/09/2016;23/04/1955;NO;4,75;;VL0010;0,75999999;0,349999994;DEFINITIVO;8;5,886681557;MADERA;1954;
70;55986;ESP000055986;PALOMA;GI-4;2146;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;14730;OVIÑANA;OVIÑANA;ASTURIAS;PRINCIPADO DE ASTURIAS;RETIRADA DE LA ACTIVIDAD PESQUERA;;10/05/1989;03/10/2016;23/10/1987;NO;4,300000191;;VL0010;1,019999981;0,479999989;DEFINITIVO;;;MADERA;1987;
71;56582;ESP000056582;LUCAS VENTIUNO;VI-8;1219;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;24810;ARCADE;ARCADE;PONTEVEDRA;GALICIA;H - A.P. POR REACTIVACION;;10/04/1992;13/03/2014;03/08/1990;NO;6,300000191;;VL0010;1,74000001;1,100000024;DEFINITIVO;30;22,07505608;POLIESTER;1990;
72;57607;ESP000057607;RABUDA;VILL-1;4335;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23100;STA. EUGENIA RIVEIRA;RIBEIRA;A CORUÑA;GALICIA;RETIRADA DE LA ACTIVIDAD PESQUERA;;05/06/1997;03/10/2016;20/02/1974;NO;3,900000095;;VL0010;0,699999988;0,330000013;DEFINITIVO;;;MADERA;1974;
