Id;CODIGO_BUQUE;CODIGO_UE;NOMBRE_BUQUE;MATRICULA;FOLIO;DISTINTIVO;LISTA;CENSOPORMODALIDAD;CALADERO;MODALIDAD;LABORATORIO_PTOBASE;CODIGO_PUERTO_BASE;PUERTO_BASE;VERNACULO;PROVINCIA;AUTONOMIA_PUERTO_BASE;ESTADO;PAIS_EXPORTACION;FECHA_ALTA_CENSO;FECHA_SITUACION;FECHA_ENTRADA_SERVICIO;IRREGULAR;ESLORA_TOTAL;ESLORA_PP;LOA;ARQUEO_TRB;ARQUEO_GT;SITUACION_GT;POTENCIA_CV;POTENCIA_KW;TIPO_CASCO;AÑO_CONST;Observ
1279;23130;ESP000023130;CLEMENTE UNO;VI-8;4-95;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;24800;REDONDELA;REDONDELA;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;26/01/1996;26/01/1996;03/10/1995;NO;5,869999886;;VL0010;3,039999962;1,649999976;DEFINITIVO;20;14,71670341;POLIESTER;1995;
1280;23133;ESP000023133;HERMANOS BUSTO;GI-4;7-95;EAMA;3;ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.;5;FIJAS;AZTI;12400;ONDARROA;ONDARROA;VIZCAYA;PAIS VASCO;ALTA DEFINITIVA;;02/02/1996;30/06/1996;01/01/1996;NO;29,35000038;23,5;VL2440;148,8999939;220;DEFINITIVO;560;412,067688;ACERO;1996;
1281;23135;ESP000023135;JUAN ANTONIO;VI-4;3-95;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;24400;CANGAS;CANGAS;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;05/02/1996;05/02/1996;08/11/1995;NO;7,420000076;6,400000095;VL0010;3,319999933;2,630000114;DEFINITIVO;8;5,886681557;POLIESTER;1995;
1282;23137;ESP000023137;DADIMAR;VI-5;6-95;EA4226;3;PALANGRE DE SUPERFICIE CALADERO NACIONAL;NO_ICES;NO_ICES;IEO;24700;LA GUARDIA;A GUARDA;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;08/02/1996;16/04/1996;30/05/1995;NO;28;25,5;VL2440;99;184;DEFINITIVO;357;262,6931458;ACERO;1995;
1283;23139;ESP000023139;MARI NIEVES;CO-5;2-95;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;22530;LIRA-CARNOTA;CARNOTA (LIRA);A CORUÑA;GALICIA;ALTA DEFINITIVA;;14/02/1996;14/02/1996;17/10/1995;NO;13,30000019;10,09000015;VL1218;9,149999619;14,53999996;DEFINITIVO;115;84,62104797;MADERA;1995;
1284;23141;ESP000023141;NUEVO CORAL;VI-3;10-95;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;24800;REDONDELA;REDONDELA;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;14/02/1996;26/06/1996;28/12/1995;NO;10,5;8,649999619;VL1012;4,710000038;6,590000153;DEFINITIVO;45;33,11258316;MADERA;1995;
1285;23145;ESP000023145;HARO MACIAS;MA-4;3-94;;3;ARTES MENORES EN EL MEDITERRANEO;NO_ICES;NO_ICES;IEO;41200;MARBELLA;MARBELLA;MALAGA;ANDALUCIA;ALTA DEFINITIVA;;21/02/1996;21/02/1996;01/03/1995;NO;8,199999809;6,5;VL0010;2,779999971;3,289999962;DEFINITIVO;30;22,07505608;POLIESTER;1994;
1286;23159;ESP000023159;BENJAMIN;CO-3;3-95;EB2304;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;22520;FINISTERRE;FISTERRA;A CORUÑA;GALICIA;ALTA DEFINITIVA;;13/03/1996;13/03/1996;22/12/1995;NO;13,77000046;11,44999981;VL1218;9,779999733;18,01000023;DEFINITIVO;116;85,35688019;MADERA;1995;
1287;23160;ESP000023160;AINHOLARA;GI-8;7-95;EB2405;3;PALANGRE DE FONDO EN CANTABRICO NW;1;PALANGRE;IEO;14800;LUARCA;LUARCA;ASTURIAS;PRINCIPADO DE ASTURIAS;ALTA DEFINITIVA;;13/03/1996;31/12/1996;10/02/1996;NO;16;13;VL1218;19,27000046;23;DEFINITIVO;120;88,3002243;ACERO;1996;
1288;23166;ESP000023166;VOU SE QUERO;4VILL2;2-95;EA2506;4;SIN CENSO ABIERTO;1;MENORES;IEO;23400;EL GROVE;O GROVE;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;09/04/1996;09/04/1996;25/08/1995;NO;18,79999924;;VL1824;38;39,79999924;DEFINITIVO;224;164,8270721;POLIESTER;;
