"CODIGO_BUQUE";"CODIGO_UE";"CODIGO_CFR";"NOMBRE_BUQUE";"MATRICULA";"FOLIO";"DISTINTIVO";"LISTA";"CENSOPORMODALIDAD";"CALADERO";"MODALIDAD";"ESTADO";"PAIS_EXPORTACION";"FECHA_ALTA_CENSO";"FECHA_SITUACION";"FECHA_ENTRADA_SERVICIO";"IRREGULAR";"ESLORA_TOTAL";"ESLORA_PP";"LOA";"ARQUEO_TRB";"ARQUEO_GT";"SITUACION_GT";"POTENCIA_CV";"POTENCIA_KW";"TIPO_CASCO";"AÑO_CONST"
17;"ESP000000017";"ESP000000017";"VIRGEN DEL ROCIO I";"ST-4";"2557";"EA5584";"3";"CERCO EN CANTABRICO NW";"1";"CERCO";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;28/6/1991 0:00:00;27/7/1959 0:00:00;"NO";21.70;19.20;"VL1824";73.05;0.00;"DEFINITIVO";280.00;206.03;"Madera";
83;"ESP000000083";"ESP000000083";"PLAYA DE ONDARZABAL";"BI-1";"2978   ";"EFLP";"3";"CERCO EN CANTABRICO NW";"1";"CERCO";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;22/4/2002 0:00:00;23/2/1968 0:00:00;"NO";26.10;23.30;"VL2440";120.49;116.00;"DEFINITIVO";425.00;312.72;"MADERA";
109;"ESP000000109";"ESP000000109";"GURE CITA";"BI-2";"2573   ";"EFXX";"3";"CERCO EN CANTABRICO NW";"1";"CERCO";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;18/9/2000 0:00:00;30/7/1971 0:00:00;"NO";;26.35;"VL2440";148.01;140.00;"DEFINITIVO";675.00;496.68;"MADERA";
114;"ESP000000114";"ESP000000114";"ORTUBE";"BI-2";"2745   ";"EGJI";"3";"CERCO EN CANTABRICO NW";"1";"CERCO";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;30/5/2002 0:00:00;22/3/1979 0:00:00;"NO";37.90;29.55;"VL2440";143.29;182.00;"DEFINITIVO";700.00;515.08;"MADERA";
132;"ESP000000132";"ESP000000132";"PASEO BASTARRE";"BI-2";"2399   ";"EEAJ";"3";"CERCO EN CANTABRICO NW";"1";"CERCO";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;22/5/2000 0:00:00;20/11/1963 0:00:00;"NO";;24.40;"VL2440";131.59;116.00;"DEFINITIVO";700.00;515.08;"MADERA";
150;"ESP000000150";"ESP000000150";"HORIZONTE";"BI-2";"2261";;"3";"PALANGRE DE FONDO EN CANTABRICO NW";"1";"PALANGRE";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;31/12/1991 0:00:00;3/3/1959 0:00:00;"NO";12.00;11.00;"VL1218";8.61;0.00;"DEFINITIVO";68.00;50.03;"Madera";
192;"ESP000000192";"ESP000000192";"FRANCISCO JORGE";"BI-2";"2758   ";"EA6623";"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;21/5/2007 0:00:00;5/7/1980 0:00:00;"NO";17.89;15.10;"VL1218";25.18;26.00;"DEFINITIVO";240.00;176.60;"MADERA";1980
202;"ESP000000202";"ESP000000202";"NUEVO FLORIAN";"BI-2";"2484";;"3";"PALANGRE DE FONDO EN CANTABRICO NW";"1";"PALANGRE";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;5/12/1991 0:00:00;27/4/1968 0:00:00;"NO";15.00;14.00;"VL1218";16.98;0.00;"DEFINITIVO";108.00;79.47;"Madera";
252;"ESP000000252";"ESP000000252";"GERVIC";"FE-2";"2872   ";;"3";"PALANGRE DE FONDO EN CANTABRICO NW";"1";"PALANGRE";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;12/5/1992 0:00:00;30/5/1963 0:00:00;"NO";5.40;;"VL0010";1.38;;;5.00;3.67;"MADERA";
264;"ESP000000264";"ESP000000264";"MARIA AURORA";"FE-2";"2892   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;15/12/2003 0:00:00;1/1/1936 0:00:00;"NO";5.34;;"VL0010";1.53;0.78;"DEFINITIVO";32.00;23.54;"MADERA";1936
265;"ESP000000265";"ESP000000265";"SIEMPRE FORTUNA";"FE-1";"1837   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;17/2/1977 0:00:00;"NO";9.76;;"VL0010";5.50;3.44;"DEFINITIVO";60.00;44.15;"MADERA";1977
279;"ESP000000279";"ESP000000279";"NUEVO EBENEZER";"GI-4";"1838";"EFKE";"3";"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.";"5";"FIJAS";"Alta Definitiva";;10/5/1989 0:00:00;10/5/1989 0:00:00;17/10/1970 0:00:00;"NO";28.15;26.01;"VL2440";186.70;238.00;"DEFINITIVO";660.00;485.65;"Acero";1970
321;"ESP000000321";"ESP000000321";"BABI";"GI-8";"1126";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;6/10/1995 0:00:00;5/1/1965 0:00:00;"NO";3.60;;"VL0010";0.72;0.41;"PROVISIONAL";8.00;5.88;"Madera";
334;"ESP000000334";"ESP000000334";"GONRUBEN";"FE-2";"2910   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;10/5/1960 0:00:00;"NO";8.55;;"VL0010";4.82;3.05;"DEFINITIVO";24.00;17.66;"MADERA";1960
342;"ESP000000342";"ESP000000342";"MICAELA";"FE-1";"1207";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;26/6/1997 0:00:00;5/6/1942 0:00:00;"NO";0.00;5.80;"VL0010";1.54;0.89;"PROVISIONAL";10.00;7.35;"Madera";
549;"ESP000000549";"ESP000000549";"ANGELITO";"CO-6";"2025   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;7/8/1958 0:00:00;"NO";5.54;;"VL0010";0.40;0.89;"DEFINITIVO";22.00;16.18;"MADERA";1958
555;"ESP000000555";"ESP000000555";"CUCA";"CO-6";"2171";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;16/1/1997 0:00:00;22/10/1973 0:00:00;"NO";3.50;;"VL0010";0.61;0.32;"PROVISIONAL";8.00;5.88;"Madera";
559;"ESP000000559";"ESP000000559";"JUAN JOSE";"CO-6";"2165   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;29/3/2000 0:00:00;29/5/1975 0:00:00;"NO";4.50;;"VL0010";0.96;0.54;"DEFINITIVO";8.00;5.88;"MADERA";
561;"ESP000000561";"ESP000000561";"LAVANDEIRA";"CO-6";"2126";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"Alta Definitiva";;10/5/1989 0:00:00;10/5/1989 0:00:00;26/9/1970 0:00:00;"NO";5.60;;"VL0010";1.18;1.29;"DEFINITIVO";20.00;14.71;"Poliester";1970
564;"ESP000000564";"ESP000000564";"LOLITA";"CO-6";"2026   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"CAMBIA A OTRA LISTA";;17/9/1993 0:00:00;5/7/2000 0:00:00;21/7/1958 0:00:00;"NO";5.50;5.00;"VL0010";1.20;0.61;"DEFINITIVO";9.00;6.62;"MADERA";
570;"ESP000000570";"ESP000000570";"MARCELO";"CO-6";"2181   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;8/7/1980 0:00:00;"NO";5.53;;"VL0010";1.38;0.99;"DEFINITIVO";30.00;22.07;"POLIESTER";1980
582;"ESP000000582";"ESP000000582";"PESCADOR SEGUNDO";"CO-5";"1801   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;16/11/1973 0:00:00;"NO";5.55;;"VL0010";2.25;1.25;"DEFINITIVO";20.00;14.71;"POLIESTER";1973
589;"ESP000000589";"ESP000000589";"SILVINA";"CO-6";"2193";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;21/5/1996 0:00:00;20/8/1982 0:00:00;"NO";5.30;;"VL0010";1.53;0.91;"PROVISIONAL";12.00;8.83;"Madera";
590;"ESP000000590";"ESP000000590";"BERTA IV";"CO-6";"2188";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"Alta Definitiva";;10/5/1989 0:00:00;10/5/1989 0:00:00;13/8/1981 0:00:00;"NO";5.32;0.00;"VL0010";1.47;1.16;"DEFINITIVO";5.00;3.67;"Poliester";1981
631;"ESP000000631";"ESP000000631";"MIÑO";"VI-1";"1870   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;21/4/1981 0:00:00;"NO";10.90;;"VL1012";8.75;6.49;"DEFINITIVO";75.00;55.18;"MADERA";1979
1099;"ESP000001099";"ESP000001099";"FARRUCA";"FE-1";"1891";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"CAMBIA A OTRA LISTA";;27/7/1993 0:00:00;8/1/1996 0:00:00;18/5/1982 0:00:00;"NO";6.00;4.80;"VL0010";2.30;1.47;"PROVISIONAL";12.00;8.83;"Madera";
1103;"ESP000001103";"ESP000001103";"ANDURIÑA";"VI-5";"9060";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;21/5/1996 0:00:00;18/4/1970 0:00:00;"NO";4.85;;"VL0010";1.51;1.21;"PROVISIONAL";24.00;17.66;"Madera";
1206;"ESP000001206";"ESP000001206";"CARBALLAL";"FE-2";"2947   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;15/12/2003 0:00:00;15/6/1983 0:00:00;"NO";6.06;5.40;"VL0010";1.61;1.06;"DEFINITIVO";29.00;21.33;"MADERA";1983
1214;"ESP000001214";"ESP000001214";"EIFER";"FE-2";"2561";;"3";"PALANGRE DE FONDO EN CANTABRICO NW";"1";"PALANGRE";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;16/11/1995 0:00:00;20/2/1961 0:00:00;"NO";6.60;;"VL0010";2.09;1.55;"PROVISIONAL";11.00;8.09;"Madera";
1230;"ESP000001230";"ESP000001230";"CHERINES";"FE-2";"2887   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;15/12/2003 0:00:00;1/5/1968 0:00:00;"NO";4.00;;"VL0010";0.93;0.44;"DEFINITIVO";3.00;2.20;"MADERA";1968
1253;"ESP000001253";"ESP000001253";"MERO";"FE-3";"1835";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;21/11/1996 0:00:00;23/10/1974 0:00:00;"NO";5.50;;"VL0010";1.32;0.72;"DEFINITIVO";29.00;21.33;"Madera";
1650;"ESP000001650";"ESP000001650";"ALAIN";"SS-3";"1374";;"3";"RASCO EN CANTABRICO NW";"1";"RASCO";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;12/9/1991 0:00:00;7/10/1976 0:00:00;"NO";0.00;7.50;"VL0010";3.98;0.00;"DEFINITIVO";32.00;23.54;"Madera";
1780;"ESP000001780";"ESP000001780";"VENTOLERA";"VILL-3";"8632   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;14/4/2000 0:00:00;19/6/1972 0:00:00;"NO";4.72;;"VL0010";0.96;0.74;"DEFINITIVO";15.00;11.03;"POLIESTER";1972
1790;"ESP000001790";"ESP000001790";"GOLFA";"VILL-3";"7096";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"Alta Definitiva";;10/5/1989 0:00:00;10/5/1989 0:00:00;25/1/1957 0:00:00;"NO";4.68;;"VL0010";0.82;0.74;"DEFINITIVO";20.00;14.71;"Poliester";1956
1801;"ESP000001801";"ESP000001801";"CARMELO";"VILL-3";"5451   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;23/7/1945 0:00:00;"NO";5.35;;"VL0010";2.00;0.54;"DEFINITIVO";25.00;18.39;"MADERA";1945
2168;"ESP000002168";"ESP000002168";"JERPDUM";"VILL-3";"9079   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;18/1/2008 0:00:00;17/5/1976 0:00:00;"NO";9.35;;"VL0010";4.92;2.89;"DEFINITIVO";25.00;18.39;"MADERA";1975
2176;"ESP000002176";"ESP000002176";"ENVIDIOSA";"VILL-3";"9418   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;11/4/1994 0:00:00;11/4/1994 0:00:00;1/1/1949 0:00:00;"NO";6.50;;"VL0010";1.30;1.68;"DEFINITIVO";25.00;18.39;"POLIESTER";1949
2186;"ESP000002186";"ESP000002186";"ALEGRE";"VILL-3";"8255";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;6/2/1997 0:00:00;5/9/1967 0:00:00;"NO";7.50;;"VL0010";4.05;2.90;"PROVISIONAL";30.00;22.07;"Madera";
2215;"ESP000002215";"ESP000002215";"FINA";"VI-5";"9396   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;24/1/2018 0:00:00;12/2/1974 0:00:00;"NO";5.72;;"VL0010";1.23;1.12;"DEFINITIVO";25.00;18.39;"POLIESTER";1974
2237;"ESP000002237";"ESP000002237";"ARAU";"VI-7";"3468";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"Alta Definitiva";;10/5/1989 0:00:00;10/5/1989 0:00:00;19/5/1983 0:00:00;"NO";6.92;;"VL0010";3.22;2.46;"DEFINITIVO";25.00;18.39;"Madera";1983
2269;"ESP000002269";"ESP000002269";"TIBURON";"FE-4";"3011";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;1/4/1998 0:00:00;21/9/1979 0:00:00;"NO";6.40;;"VL0010";2.21;1.76;"PROVISIONAL";12.00;8.83;"Madera";
2277;"ESP000002277";"ESP000002277";"ME VOY";"CO-2";"2455";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"Alta Definitiva";;10/5/1989 0:00:00;10/5/1989 0:00:00;2/6/1957 0:00:00;"NO";8.17;6.55;"VL0010";2.45;1.70;"DEFINITIVO";9.00;6.62;"Madera";1957
2280;"ESP000002280";"ESP000002280";"PALOMA";"FE-4";"2785   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;17/11/2004 0:00:00;23/9/1970 0:00:00;"NO";5.50;;"VL0010";1.56;0.89;"DEFINITIVO";8.00;5.88;"MADERA";1970
2281;"ESP000002281";"ESP000002281";"SALVADORITO";"FE-4";"2976   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;13/3/2001 0:00:00;21/6/1969 0:00:00;"NO";6.00;;"VL0010";1.91;1.11;"PROVISIONAL";12.00;8.83;"MADERA";
2288;"ESP000002288";"ESP000002288";"SAN PEDRITO";"FE-4";"3033";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"Alta Definitiva";;10/5/1989 0:00:00;23/2/2011 0:00:00;17/9/1982 0:00:00;"NO";8.64;;"VL0010";4.53;3.37;"DEFINITIVO";0.00;0.00;"Madera";1982
2298;"ESP000002298";"ESP000002298";"FLOR DEL MAR";"FE-4";"3006   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;13/9/1979 0:00:00;"NO";7.30;6.00;"VL0010";1.50;1.67;"DEFINITIVO";19.00;13.98;"MADERA";1978
2311;"ESP000002311";"ESP000002311";"VINO DEL MAR";"VILL-3";"8243";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"BAJA PROVISIONAL";;10/5/1989 0:00:00;8/3/2019 0:00:00;17/7/1967 0:00:00;"NO";8.25;;"VL0010";4.40;2.66;"DEFINITIVO";24.00;17.66;"Madera";1966
2316;"ESP000002316";"ESP000002316";"MARBA";"VILL-3";"8346";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"Alta Definitiva";;10/5/1989 0:00:00;10/5/1989 0:00:00;24/9/1968 0:00:00;"NO";5.85;;"VL0010";1.58;1.55;"DEFINITIVO";30.00;22.07;"Poliester";1968
2324;"ESP000002324";"ESP000002324";"COLON";"VILL-3";"4513   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;6/8/1941 0:00:00;"NO";7.10;;"VL0010";1.00;1.47;"DEFINITIVO";16.00;11.77;"MADERA";1941
2326;"ESP000002326";"ESP000002326";"A RIANXEIRA";"VILL-3";"9344";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"Alta Definitiva";;10/5/1989 0:00:00;10/5/1989 0:00:00;9/5/1981 0:00:00;"NO";5.06;;"VL0010";1.42;1.01;"DEFINITIVO";15.00;11.03;"Poliester";1980
2342;"ESP000002342";"ESP000002342";"ELVI EXPRES";"VILL-3";"9165   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;29/1/1979 0:00:00;"NO";8.10;;"VL0010";3.60;2.52;"DEFINITIVO";23.00;16.92;"MADERA";1978
2352;"ESP000002352";"ESP000002352";"LOS BRAVOS";"VILL-3";"8597   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;20/1/1972 0:00:00;"NO";8.00;;"VL0010";5.46;3.53;"DEFINITIVO";32.00;23.54;"MADERA";1971
2362;"ESP000002362";"ESP000002362";"MIGUEL ABUIN";"VILL-3";"9090   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;15/9/2005 0:00:00;23/7/1976 0:00:00;"NO";4.50;;"VL0010";0.85;0.42;"DEFINITIVO";5.00;3.67;"MADERA";1976
2364;"ESP000002364";"ESP000002364";"PABLO";"VILL-3";"9429   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;9/6/1981 0:00:00;"NO";5.70;;"VL0010";1.20;1.29;"DEFINITIVO";25.00;18.39;"POLIESTER";1981
2390;"ESP000002390";"ESP000002390";"MONCHITO";"VILL-3";"7132   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;3/5/1957 0:00:00;"NO";6.20;;"VL0010";1.48;1.08;"DEFINITIVO";12.00;8.83;"MADERA";1957
2416;"ESP000002416";"ESP000002416";"ESTHER ABUIN";"VILL-3";"9120   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;12/3/2009 0:00:00;22/7/1977 0:00:00;"NO";4.50;;"VL0010";0.90;0.85;"DEFINITIVO";4.00;2.94;"MADERA";1977
2418;"ESP000002418";"ESP000002418";"HERMANOS VARELA";"VILL-3";"9084   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;3/7/1976 0:00:00;"NO";5.55;;"VL0010";1.20;1.32;"DEFINITIVO";20.00;14.71;"POLIESTER";1976
2435;"ESP000002435";"ESP000002435";"NUEVO PACO";"VI-8";"648    ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;6/6/1970 0:00:00;"NO";10.70;;"VL1012";4.89;6.74;"DEFINITIVO";37.40;27.52;"MADERA";1970
2437;"ESP000002437";"ESP000002437";"SEGUNDA SILVIA";"VILL-3";"9108   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;11/12/1940 0:00:00;"NO";6.50;;"VL0010";1.47;1.23;"DEFINITIVO";9.00;6.62;"MADERA";1940
2443;"ESP000002443";"ESP000002443";"CRIOLLO SEGUNDO";"VILL-3";"9229   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;5/10/1979 0:00:00;"NO";8.90;;"VL0010";4.76;2.83;"DEFINITIVO";24.00;17.66;"MADERA";1979
2463;"ESP000002463";"ESP000002463";"SEGUNDA NIÑA";"VILL-3";"8644";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"Alta Definitiva";;10/5/1989 0:00:00;10/5/1989 0:00:00;12/9/1972 0:00:00;"NO";8.69;;"VL0010";5.08;2.50;"DEFINITIVO";24.00;17.66;"Fibra de Vidrio/Plástico";1971
2473;"ESP000002473";"ESP000002473";"SAN JUAN";"VILL-3";"9160";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"Alta Definitiva";;10/5/1989 0:00:00;10/5/1989 0:00:00;16/6/1959 0:00:00;"NO";8.00;;"VL0010";2.90;2.40;"DEFINITIVO";8.00;5.88;"Madera";1959
2474;"ESP000002474";"ESP000002474";"JUAN ANGEL";"VILL-3";"6557   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;29/11/1951 0:00:00;"NO";5.30;;"VL0010";1.61;0.95;"DEFINITIVO";5.00;3.67;"MADERA";1951
2478;"ESP000002478";"ESP000002478";"SACHO";"VILL-3";"8656   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;20/12/1972 0:00:00;"NO";8.93;;"VL0010";3.91;3.37;"DEFINITIVO";24.00;17.66;"MADERA";1972
2480;"ESP000002480";"ESP000002480";"CARMEN";"VILL-3";"9557   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;14/10/1982 0:00:00;"NO";6.95;;"VL0010";2.45;1.54;"DEFINITIVO";12.00;8.83;"MADERA";1982
2489;"ESP000002489";"ESP000002489";"LINARES";"FE-1";"1906";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"BAJA PROVISIONAL";;29/1/1997 0:00:00;28/2/2019 0:00:00;12/8/1982 0:00:00;"NO";6.80;1.68;"VL0010";1.74;1.60;"DEFINITIVO";10.00;7.35;"Madera";1982
2495;"ESP000002495";"ESP000002495";"PERLON";"FE-1";"1867   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;19/5/1995 0:00:00;19/5/1995 0:00:00;10/9/1979 0:00:00;"NO";5.88;;"VL0010";1.81;0.87;"DEFINITIVO";5.00;3.67;"MADERA";1962
2499;"ESP000002499";"ESP000002499";"NAVARRET";"FE-1";"1742   ";"EB7352";"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;14/4/1964 0:00:00;"NO";16.38;14.00;"VL1218";19.71;20.92;"DEFINITIVO";40.00;29.43;"MADERA";1964
2500;"ESP000002500";"ESP000002500";"SIEMPRE JESUS DOLORES";"FE-1";"1827";"EA5294";"3";"CERCO EN CANTABRICO NW";"1";"CERCO";"Alta Definitiva";;10/5/1989 0:00:00;10/5/1989 0:00:00;29/11/1975 0:00:00;"NO";17.10;15.68;"VL1218";34.16;31.00;"DEFINITIVO";230.00;169.24;"Madera";1975
2544;"ESP000002544";"ESP000002544";"VIRXEN DOS MILAGROS";"VI-4";"4880";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"Alta Definitiva";;10/5/1989 0:00:00;10/5/1989 0:00:00;9/10/1965 0:00:00;"NO";11.30;;"VL1012";5.85;8.11;"PROVISIONAL";87.00;64.01;"Madera";1965
2548;"ESP000002548";"ESP000002548";"MARUJA Y ELISA";"VI-4";"4857";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"H - A.P. POR REACTIVACION";;10/5/1989 0:00:00;29/9/2015 0:00:00;9/12/1964 0:00:00;"NO";9.90;;"VL0010";3.06;3.67;"DEFINITIVO";40.00;29.43;"Madera";1964
2562;"ESP000002562";"ESP000002562";"ROCI";"VI-4";"5393   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;26/5/1981 0:00:00;"NO";13.60;;"VL1218";9.90;13.88;"DEFINITIVO";170.00;125.09;"MADERA";1980
2563;"ESP000002563";"ESP000002563";"PERLA DEL PACIFICO NUMERO DOS";"VI-4";"5271   ";;"3";"CERCO EN CANTABRICO NW";"1";"CERCO";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;7/6/1977 0:00:00;"NO";11.25;10.00;"VL1012";9.68;8.19;"DEFINITIVO";128.00;94.18;"MADERA";1977
2570;"ESP000002570";"ESP000002570";"PERCEBE";"VI-4";"4887   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;23/10/1965 0:00:00;"NO";7.47;;"VL0010";3.64;2.60;"DEFINITIVO";60.00;44.15;"MADERA";1965
2571;"ESP000002571";"ESP000002571";"ZANI";"VI-4";"5284";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"Alta Definitiva";;10/5/1989 0:00:00;10/5/1989 0:00:00;24/4/1980 0:00:00;"NO";11.56;9.60;"VL1012";9.86;9.69;"DEFINITIVO";128.00;94.18;"Madera";1978
2586;"ESP000002586";"ESP000002586";"BENIGNITO";"VI-4";"4564   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;23/6/1999 0:00:00;9/10/1956 0:00:00;"NO";9.65;;"VL0010";5.90;3.33;"DEFINITIVO";57.00;41.94;"MADERA";
