"CODIGO_BUQUE";"CODIGO_UE";"CODIGO_CFR";"NOMBRE_BUQUE";"MATRICULA";"FOLIO";"DISTINTIVO";"LISTA";"CENSOPORMODALIDAD";"CALADERO";"MODALIDAD";"ESTADO";"PAIS_EXPORTACION";"FECHA_ALTA_CENSO";"FECHA_SITUACION";"FECHA_ENTRADA_SERVICIO";"IRREGULAR";"ESLORA_TOTAL";"ESLORA_PP";"LOA";"ARQUEO_TRB";"ARQUEO_GT";"SITUACION_GT";"POTENCIA_CV";"POTENCIA_KW";"TIPO_CASCO";"AÑO_CONST"
55258;"ESP000055258";"ESP000055258";"PALMERA";"CO-7";"2607   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;28/9/1964 0:00:00;"NO";4.96;;"VL0010";0.87;0.74;"DEFINITIVO";8.00;5.88;"POLIESTER";1964
55262;"ESP000055262";"ESP000055262";"MARUXO";"CO-7";"2666   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;13/5/1965 0:00:00;"NO";5.97;;"VL0010";1.01;1.59;"DEFINITIVO";20.00;14.71;"POLIESTER";1965
55264;"ESP000055264";"ESP000055264";"JACINTO";"CO-7";"2922   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;29/12/2006 0:00:00;18/12/1968 0:00:00;"NO";4.50;;"VL0010";1.03;0.47;"DEFINITIVO";;0.00;"MADERA";1968
55276;"ESP000055276";"ESP000055276";"TINO";"CO-7";"2427";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"Alta Definitiva";;10/5/1989 0:00:00;10/5/1989 0:00:00;30/10/1961 0:00:00;"NO";5.12;;"VL0010";1.00;0.85;"DEFINITIVO";20.00;14.71;"Poliester";1961
55278;"ESP000055278";"ESP000055278";"LOS CINCO VARONES";"CO-7";"2360   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;16/9/1961 0:00:00;"NO";4.76;;"VL0010";0.70;0.51;"DEFINITIVO";;0.00;"MADERA";1961
55281;"ESP000055281";"ESP000055281";"TON MARY";"CO-7";"2183   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;13/12/1956 0:00:00;"NO";4.75;;"VL0010";0.79;0.59;"DEFINITIVO";4.00;2.94;"MADERA";1956
55282;"ESP000055282";"ESP000055282";"CAAMAÑO ROMERO";"CO-7";"3170   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;14/10/1972 0:00:00;"NO";5.40;;"VL0010";0.95;1.07;"DEFINITIVO";15.00;11.03;"POLIESTER";1972
55283;"ESP000055283";"ESP000055283";"SITO";"CO-7";"2807";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"Alta Definitiva";;10/5/1989 0:00:00;10/5/1989 0:00:00;1/10/1971 0:00:00;"NO";6.02;;"VL0010";1.47;1.52;"DEFINITIVO";20.00;14.71;"Poliester";1970
55284;"ESP000055284";"ESP000055284";"JOSEFA";"CO-6";"1345   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;3/1/1926 0:00:00;"NO";5.40;;"VL0010";0.82;1.05;"DEFINITIVO";15.00;11.03;"POLIESTER";1925
55285;"ESP000055285";"ESP000055285";"MIGUEL ANGEL";"CO-7";"2357   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;13/9/1961 0:00:00;"NO";5.25;4.80;"VL0010";0.60;0.74;"DEFINITIVO";19.98;14.70;"MADERA";1961
55288;"ESP000055288";"ESP000055288";"MONCHO";"CO-7";"3303   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;10/3/1975 0:00:00;"NO";5.95;;"VL0010";0.73;1.18;"DEFINITIVO";20.00;14.71;"POLIESTER";1974
55289;"ESP000055289";"ESP000055289";"CHALO";"CO-7";"3579";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"Alta Definitiva";;10/5/1989 0:00:00;10/5/1989 0:00:00;25/9/1986 0:00:00;"NO";6.05;;"VL0010";1.17;1.35;"DEFINITIVO";30.00;22.07;"Fibra de Vidrio/Plástico";1986
55293;"ESP000055293";"ESP000055293";"MARY CARMEN";"CO-7";"2135   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;21/12/1953 0:00:00;"NO";5.50;5.00;"VL0010";1.90;0.98;"DEFINITIVO";8.00;5.88;"MADERA";1952
55296;"ESP000055296";"ESP000055296";"MERCEDES";"CO-7";"1560   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;28/10/1926 0:00:00;"NO";6.03;;"VL0010";0.40;1.24;"DEFINITIVO";25.00;18.39;"POLIESTER";1926
55298;"ESP000055298";"ESP000055298";"ECO";"CO-7";"3475";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"Alta Definitiva";;10/5/1989 0:00:00;10/5/1989 0:00:00;30/9/1981 0:00:00;"NO";5.97;0.00;"VL0010";1.32;1.59;"DEFINITIVO";25.00;18.39;"Poliester";1981
55300;"ESP000055300";"ESP000055300";"ROSA MARIA";"CO-7";"2222";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"Alta Definitiva";;10/5/1989 0:00:00;10/5/1989 0:00:00;17/11/1958 0:00:00;"NO";6.02;;"VL0010";1.14;1.22;"DEFINITIVO";30.00;22.07;"Poliester";1958
55302;"ESP000055302";"ESP000055302";"CARMEN";"CO-7";"3403   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;1/3/1949 0:00:00;"NO";5.98;;"VL0010";1.00;1.51;"DEFINITIVO";20.00;14.71;"POLIESTER";1949
55303;"ESP000055303";"ESP000055303";"MARUJA";"CO-7";"2206   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;27/1/1958 0:00:00;"NO";5.95;;"VL0010";0.85;1.17;"DEFINITIVO";25.00;18.39;"POLIESTER";1958
55304;"ESP000055304";"ESP000055304";"LUA";"CO-7";"3575   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;7/4/2004 0:00:00;28/4/1989 0:00:00;"NO";5.22;;"VL0010";1.42;0.94;"DEFINITIVO";25.00;18.39;"POLIESTER";1986
55306;"ESP000055306";"ESP000055306";"CLARA";"CO-7";"2395";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"Alta Definitiva";;10/5/1989 0:00:00;10/5/1989 0:00:00;2/10/1961 0:00:00;"NO";5.60;;"VL0010";1.00;1.26;"DEFINITIVO";8.00;5.88;"Fibra de Vidrio/Plástico";1961
55310;"ESP000055310";"ESP000055310";"SANLES";"CO-7";"2640   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;16/10/1964 0:00:00;"NO";5.91;;"VL0010";0.65;1.16;"DEFINITIVO";25.00;18.39;"POLIESTER";1964
55317;"ESP000055317";"ESP000055317";"JUNQUERA";"CO-7";"2732";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"Alta Definitiva";;10/5/1989 0:00:00;10/5/1989 0:00:00;10/9/1965 0:00:00;"NO";5.00;;"VL0010";1.20;0.96;"DEFINITIVO";15.00;11.03;"Madera";1965
55324;"ESP000055324";"ESP000055324";"ADELINA";"CO-7";"2104   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;31/7/1995 0:00:00;30/10/1950 0:00:00;"NO";5.42;;"VL0010";1.31;1.09;"DEFINITIVO";15.00;11.03;"POLIESTER";1950
